[WEBUI] delivery config normalized | mode=private | firebase=on | discord=off | telegram_enabled=no | telegram_bot_api=no | telegram_token_valid=no | telegram_chat_id_present=no | telegram_ready=no
[WEBUI] Firebase mirror enabled. SQLite remains the source of truth; dashboard view source is user-selected.

--- RENDER DASHBOARD IS RUNNING ---
DoneYet / JDTool for Houdini | Build 2026.04.07 | Owner: Truong Do Trung Hieu | JamesDo
Local:  http://127.0.0.1:8000
DB:     D:\Antigravity\PluginHoudini_JDTool\packages\JDTool\doneyet_render_tracker.db
Public: unavailable (bundle cloudflared.exe to enable)
-----------------------------------

127.0.0.1 - - [24/Apr/2026 20:50:44] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:44] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:45] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:45] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:47] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:47] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:48] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:48] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:50] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:50] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:53] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:53] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:55] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:55] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:56] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:50:56] "GET /api/service_status HTTP/1.1" 200 -
